episode,reward,R100
506,15.0,11.85
507,26.0,12.03
508,12.0,12.03
509,21.0,12.13
510,13.0,12.17
511,10.0,12.16
512,9.0,12.16
513,29.0,12.35
514,10.0,12.33
515,10.0,12.35
516,31.0,12.51
517,25.0,12.66
518,18.0,12.73
519,10.0,12.68
520,11.0,12.71
521,10.0,12.7
522,10.0,12.7
523,8.0,12.68
524,8.0,12.64
525,118.0,13.73
526,132.0,14.96
527,194.0,16.78
528,172.0,18.4
529,151.0,19.81
530,264.0,22.35
531,151.0,23.75
532,235.0,25.96
533,245.0,28.29
534,288.0,31.07
535,260.0,33.55
536,245.0,35.88
537,295.0,38.73
538,280.0,41.43
539,226.0,43.57
540,229.0,45.74
541,234.0,47.98
542,229.0,50.16
543,205.0,52.11
544,201.0,54.0
545,234.0,56.24
546,197.0,58.1
547,221.0,60.23
548,216.0,62.26
549,197.0,64.12
550,250.0,66.5
551,184.0,68.23
552,217.0,70.29
553,208.0,72.23
554,215.0,74.27
555,226.0,76.37
556,213.0,78.42
557,190.0,80.24
558,217.0,82.31
559,193.0,84.14
560,199.0,86.04
561,209.0,88.02
562,194.0,89.82
563,198.0,91.7
564,203.0,93.62
565,231.0,95.85
566,212.0,97.88
567,194.0,99.74
568,203.0,101.64
569,197.0,103.49
570,226.0,105.66
571,209.0,107.6
572,217.0,109.59
573,197.0,111.45
574,230.0,113.64
575,210.0,115.61
576,197.0,117.45
577,204.0,119.37
578,211.0,121.36
579,221.0,123.49
580,208.0,125.48
581,193.0,127.29
582,214.0,129.33
583,181.0,131.04
584,210.0,133.03
585,215.0,135.06
586,188.0,136.82
587,210.0,138.75
588,199.0,140.58
589,162.0,142.09
590,207.0,143.89
591,207.0,145.85
592,103.0,146.78
593,202.0,148.69
594,196.0,150.47
595,181.0,152.14
596,218.0,154.2
597,182.0,155.92
598,201.0,157.85
599,189.0,159.63
600,196.0,161.47
601,185.0,163.2
602,212.0,165.24
603,206.0,167.21
604,188.0,168.66
605,195.0,170.28
606,198.0,172.11
607,179.0,173.64
608,211.0,175.63
609,199.0,177.41
610,190.0,179.18
611,34.0,179.42
612,192.0,181.25
613,209.0,183.05
614,195.0,184.9
615,174.0,186.54
616,224.0,188.47
617,178.0,190.0
618,180.0,191.62
619,182.0,193.34
620,180.0,195.03
621,251.0,197.44
622,178.0,199.12
623,188.0,200.92
624,164.0,202.48
625,170.0,203.0
626,171.0,203.39
627,178.0,203.23
628,178.0,203.29
629,189.0,203.67
630,169.0,202.72
631,171.0,202.92
632,201.0,202.58
633,242.0,202.55
634,171.0,201.38
635,25.0,199.03
636,188.0,198.46
637,203.0,197.54
638,172.0,196.46
639,156.0,195.76
640,143.0,194.9
641,154.0,194.1
642,15.0,191.96
643,157.0,191.48
644,138.0,190.85
645,141.0,189.92
646,104.0,188.99
647,106.0,187.84
648,127.0,186.95
649,107.0,186.05
650,102.0,184.57
651,101.0,183.74
652,102.0,182.59
653,99.0,181.5
654,84.0,180.19
655,98.0,178.91
656,94.0,177.72
657,89.0,176.71
658,94.0,175.48
659,105.0,174.6
660,92.0,173.53
661,19.0,171.63
662,93.0,170.62
663,94.0,169.58
664,35.0,167.9
665,91.0,166.5
666,32.0,164.7
667,21.0,162.97
668,89.0,161.83
669,96.0,160.82
670,101.0,159.57
671,100.0,158.48
672,103.0,157.34
673,96.0,156.33
674,97.0,155.0
675,104.0,153.94
676,100.0,152.97
677,94.0,151.87
678,87.0,150.63
679,101.0,149.43
680,16.0,147.51
681,96.0,146.54
682,49.0,144.89
683,105.0,144.13
684,103.0,143.06
685,97.0,141.88
686,99.0,140.99
687,97.0,139.86
688,100.0,138.87
689,96.0,138.21
690,102.0,137.16
691,93.0,136.02
692,78.0,135.77
693,107.0,134.82
694,95.0,133.81
695,96.0,132.96
696,100.0,131.78
697,98.0,130.94
698,105.0,129.98
699,106.0,129.15
700,110.0,128.29
701,100.0,127.44
702,88.0,126.2
703,97.0,125.11
704,96.0,124.19
705,102.0,123.26
706,99.0,122.27
707,98.0,121.46
708,97.0,120.32
709,13.0,118.46
710,95.0,117.51
711,100.0,118.17
712,103.0,117.28
713,100.0,116.19
714,35.0,114.59
715,97.0,113.82
716,100.0,112.58
717,81.0,111.61
718,57.0,110.38
719,99.0,109.55
720,96.0,108.71
721,95.0,107.15
722,101.0,106.38
723,100.0,105.5
724,61.0,104.47
725,104.0,103.81
726,95.0,103.05
727,103.0,102.3
728,109.0,101.61
729,106.0,100.78
730,96.0,100.05
731,69.0,99.03
732,92.0,97.94
733,92.0,96.44
734,93.0,95.66
735,95.0,96.36
736,97.0,95.45
737,100.0,94.42
738,91.0,93.61
739,96.0,93.01
740,95.0,92.53
741,94.0,91.93
742,143.0,93.21
743,97.0,92.61
744,96.0,92.19
745,103.0,91.81
746,94.0,91.71
747,93.0,91.58
748,92.0,91.23
749,93.0,91.09
750,131.0,91.38
751,98.0,91.35
752,61.0,90.94
753,150.0,91.45
754,102.0,91.63
755,99.0,91.64
756,93.0,91.63
757,104.0,91.78
758,149.0,92.33
759,167.0,92.95
760,152.0,93.55
761,159.0,94.95
762,164.0,95.66
763,207.0,96.79
764,107.0,97.51
765,244.0,99.04
766,243.0,101.15
767,500.0,105.94
768,314.0,108.19
769,179.0,109.02
770,177.0,109.78
771,229.0,111.07
772,215.0,112.19
773,184.0,113.07
774,169.0,113.79
775,178.0,114.53
776,159.0,115.12
777,200.0,116.18
778,180.0,117.11
779,184.0,117.94
780,204.0,119.82
781,208.0,120.94
782,178.0,122.23
783,226.0,123.44
784,197.0,124.38
785,220.0,125.61
786,187.0,126.49
787,210.0,127.62
788,221.0,128.83
789,212.0,129.99
790,229.0,131.26
