episode,reward,R100
490,151.0,49.4
491,193.0,51.25
492,104.0,52.19
493,249.0,54.59
494,270.0,57.18
495,303.0,60.12
496,211.0,62.12
497,146.0,63.48
498,148.0,64.82
499,200.0,66.68
500,336.0,69.9
501,106.0,70.82
502,133.0,72.03
503,154.0,73.48
504,203.0,75.35
505,127.0,76.46
506,299.0,79.32
507,235.0,81.45
508,282.0,84.15
509,190.0,85.93
510,213.0,87.93
511,184.0,89.6
512,292.0,92.34
513,153.0,93.72
514,123.0,94.82
515,143.0,96.05
516,178.0,97.68
517,176.0,99.22
518,189.0,100.69
519,151.0,101.83
520,163.0,103.25
521,206.0,105.16
522,188.0,106.83
523,130.0,107.67
524,135.0,108.69
525,207.0,110.43
526,166.0,111.89
527,240.0,114.03
528,230.0,116.16
529,359.0,119.48
530,200.0,120.88
531,134.0,121.12
532,254.0,123.43
533,207.0,125.27
534,256.0,127.65
535,145.0,128.88
536,167.0,130.37
537,131.0,131.46
538,168.0,132.9
539,166.0,134.34
540,172.0,135.81
541,167.0,137.16
542,176.0,138.6
543,180.0,140.16
544,173.0,141.74
545,207.0,143.51
546,171.0,145.01
547,187.0,146.52
548,200.0,148.19
549,192.0,149.89
550,144.0,151.01
551,186.0,152.29
552,189.0,153.81
553,207.0,155.62
554,225.0,157.55
555,169.0,159.05
556,254.0,161.24
557,198.0,162.54
558,264.0,164.88
559,163.0,166.08
560,236.0,168.09
561,202.0,169.79
562,157.0,170.97
563,138.0,172.06
564,161.0,173.2
565,155.0,174.31
566,500.0,178.85
567,159.0,179.97
568,208.0,181.25
569,168.0,182.42
570,100.0,182.93
571,155.0,183.69
572,162.0,184.28
573,159.0,185.02
574,159.0,185.0
575,207.0,185.71
576,194.0,186.27
577,183.0,187.11
578,187.0,187.99
579,165.0,188.14
580,187.0,188.86
581,180.0,189.52
582,211.0,190.52
583,202.0,190.92
584,205.0,190.75
585,209.0,191.95
586,152.0,191.26
587,178.0,191.71
588,167.0,191.99
589,150.0,191.14
590,157.0,191.2
591,145.0,190.72
592,136.0,191.04
593,147.0,190.02
594,172.0,189.04
595,178.0,187.79
596,172.0,187.4
597,153.0,187.47
598,163.0,187.62
599,128.0,186.9
600,211.0,185.65
601,188.0,186.47
602,152.0,186.66
603,194.0,187.06
604,190.0,186.93
605,172.0,187.38
606,191.0,186.3
607,190.0,185.85
608,162.0,184.65
609,158.0,184.33
610,167.0,183.87
611,181.0,183.84
612,193.0,182.85
613,146.0,182.78
614,185.0,183.4
615,156.0,183.53
616,183.0,183.58
617,168.0,183.5
618,168.0,183.29
619,180.0,183.58
620,177.0,183.72
621,161.0,183.27
622,179.0,183.18
623,133.0,183.21
624,61.0,182.47
625,116.0,181.56
626,149.0,181.39
627,125.0,180.24
628,119.0,179.13
629,169.0,177.23
630,164.0,176.87
631,195.0,177.48
632,192.0,176.86
633,189.0,176.68
634,177.0,175.89
635,168.0,176.12
636,171.0,176.16
637,204.0,176.89
638,161.0,176.82
639,152.0,176.68
640,232.0,177.28
641,181.0,177.42
642,218.0,177.84
643,214.0,178.18
644,207.0,178.52
645,204.0,178.49
646,236.0,179.14
647,201.0,179.28
648,216.0,179.44
649,225.0,179.77
650,219.0,180.52
651,215.0,180.81
652,180.0,180.72
653,227.0,180.92
654,229.0,180.96
655,215.0,181.42
656,262.0,181.5
657,215.0,181.67
658,224.0,181.27
659,236.0,182.0
660,242.0,182.06
661,247.0,182.51
662,270.0,183.64
663,216.0,184.42
664,256.0,185.37
665,221.0,186.03
666,340.0,184.43
667,266.0,185.5
668,232.0,185.74
669,309.0,187.15
670,287.0,189.02
671,295.0,190.42
672,288.0,191.68
673,417.0,194.26
674,278.0,195.45
675,378.0,197.16
676,391.0,199.13
677,320.0,200.5
678,312.0,201.75
679,500.0,205.1
680,409.0,207.32
681,352.0,209.04
682,456.0,211.49
683,500.0,214.47
684,500.0,217.42
685,418.0,219.51
686,500.0,222.99
687,484.0,226.05
688,418.0,228.56
689,383.0,230.89
690,397.0,233.29
691,368.0,235.52
692,335.0,237.51
693,384.0,239.88
694,347.0,241.63
695,300.0,242.85
696,308.0,244.21
697,364.0,246.32
698,330.0,247.99
699,320.0,249.91
700,283.0,250.63
701,288.0,251.63
702,308.0,253.19
703,323.0,254.48
704,357.0,256.15
705,323.0,257.66
706,343.0,259.18
707,347.0,260.75
708,329.0,262.42
709,259.0,263.43
710,274.0,264.5
711,270.0,265.39
712,260.0,266.06
713,253.0,267.13
714,285.0,268.13
715,285.0,269.42
716,266.0,270.25
717,282.0,271.39
718,261.0,272.32
719,265.0,273.17
720,245.0,273.85
721,310.0,275.34
722,269.0,276.24
723,270.0,277.61
724,274.0,279.74
725,271.0,281.29
726,279.0,282.59
727,268.0,284.02
728,297.0,285.8
729,286.0,286.97
730,291.0,288.24
731,265.0,288.94
732,254.0,289.56
733,262.0,290.29
734,252.0,291.04
735,288.0,292.24
736,283.0,293.36
737,259.0,293.91
738,288.0,295.18
739,278.0,296.44
740,264.0,296.76
741,249.0,297.44
742,251.0,297.77
743,258.0,298.21
744,270.0,298.84
745,242.0,299.22
746,249.0,299.35
747,263.0,299.97
748,254.0,300.35
749,255.0,300.65
750,258.0,301.04
751,252.0,301.41
752,254.0,302.15
753,261.0,302.49
754,254.0,302.74
755,246.0,303.05
756,264.0,303.07
757,244.0,303.36
758,260.0,303.72
759,246.0,303.82
760,256.0,303.96
761,263.0,304.12
762,280.0,304.22
763,245.0,304.51
764,264.0,304.59
765,254.0,304.92
766,259.0,304.11
767,260.0,304.05
768,251.0,304.24
769,250.0,303.65
770,240.0,303.18
771,247.0,302.7
772,255.0,302.37
773,232.0,300.52
774,264.0,300.38
775,252.0,299.12
776,262.0,297.83
777,251.0,297.14
778,259.0,296.61
779,246.0,294.07
780,242.0,292.4
781,256.0,291.44
782,247.0,289.35
783,247.0,286.82
784,251.0,284.33
785,243.0,282.58
786,267.0,280.25
787,255.0,277.96
788,243.0,276.21
789,252.0,274.9
790,246.0,273.39
791,258.0,272.29
792,247.0,271.41
793,277.0,270.34
794,247.0,269.34
795,250.0,268.84
796,252.0,268.28
797,243.0,267.07
798,257.0,266.34
799,254.0,265.68
800,260.0,265.45
801,260.0,265.17
802,257.0,264.66
803,267.0,264.1
804,268.0,263.21
805,279.0,262.77
806,280.0,262.14
807,271.0,261.38
808,282.0,260.91
809,274.0,261.06
810,272.0,261.04
811,272.0,261.06
812,277.0,261.23
813,288.0,261.58
814,297.0,261.7
815,290.0,261.75
816,307.0,262.16
817,313.0,262.47
818,290.0,262.76
819,300.0,263.11
820,286.0,263.52
821,313.0,263.55
822,294.0,263.8
823,279.0,263.89
824,307.0,264.22
825,283.0,264.34
826,286.0,264.41
827,295.0,264.68
828,269.0,264.4
829,266.0,264.2
830,267.0,263.96
831,265.0,263.96
832,303.0,264.45
833,271.0,264.54
834,289.0,264.91
835,275.0,264.78
836,273.0,264.68
837,273.0,264.82
838,277.0,264.71
839,290.0,264.83
840,290.0,265.09
841,277.0,265.37
842,252.0,265.38
843,265.0,265.45
844,251.0,265.26
845,263.0,265.47
846,282.0,265.8
847,278.0,265.95
848,279.0,266.2
849,255.0,266.2
850,265.0,266.27
851,258.0,266.33
852,267.0,266.46
853,237.0,266.22
854,257.0,266.25
855,234.0,266.13
856,255.0,266.04
857,271.0,266.31
858,251.0,266.22
859,237.0,266.13
860,245.0,266.02
861,275.0,266.14
862,241.0,265.75
863,237.0,265.67
864,266.0,265.69
865,278.0,265.93
866,306.0,266.4
867,322.0,267.02
868,316.0,267.67
869,286.0,268.03
870,314.0,268.77
871,290.0,269.2
872,304.0,269.69
873,267.0,270.04
874,304.0,270.44
875,318.0,271.1
876,296.0,271.44
877,280.0,271.73
878,290.0,272.04
879,300.0,272.58
880,341.0,273.57
881,330.0,274.31
882,294.0,274.78
883,325.0,275.56
884,313.0,276.18
885,331.0,277.06
886,293.0,277.32
887,341.0,278.18
888,357.0,279.32
889,310.0,279.9
890,282.0,280.26
891,402.0,281.7
892,311.0,282.34
893,320.0,282.77
894,439.0,284.69
895,372.0,285.91
896,428.0,287.67
897,500.0,290.24
898,500.0,292.67
899,500.0,295.13
900,500.0,297.53
901,500.0,299.93
902,500.0,302.36
903,500.0,304.69
904,500.0,307.01
905,500.0,309.22
906,500.0,311.42
907,500.0,313.71
908,500.0,315.89
909,500.0,318.15
910,500.0,320.43
911,500.0,322.71
912,500.0,324.94
913,500.0,327.06
914,500.0,329.09
915,500.0,331.19
916,500.0,333.12
917,500.0,334.99
918,500.0,337.09
919,500.0,339.09
920,500.0,341.23
921,500.0,343.1
922,500.0,345.16
923,500.0,347.37
924,500.0,349.3
925,500.0,351.47
926,500.0,353.61
927,500.0,355.66
928,500.0,357.97
929,500.0,360.31
930,500.0,362.64
931,500.0,364.99
932,500.0,366.96
933,500.0,369.25
934,500.0,371.36
935,500.0,373.61
936,500.0,375.88
937,500.0,378.15
938,500.0,380.38
939,500.0,382.48
